Date,timeFrame,gridePoints,Humidity (%),roomHeight (cm),roomWidth(cm),roomLength(cm),num_students,windowsOpen,fansWorking,temperature (oC)
10/3/2026,EVENING,G1,67.08,379,760,1516,18,12,7,29.8
10/3/2026,EVENING,G2,67.08,379,760,1516,18,12,7,29.8
10/3/2026,EVENING,G3,67.08,379,760,1516,18,12,7,29.8
10/3/2026,EVENING,G4,67.08,379,760,1516,18,12,7,29.8
10/3/2026,EVENING,H1,67.08,379,760,1516,18,12,7,29.8
10/3/2026,EVENING,H2,67.08,379,760,1516,18,12,7,29.8
10/3/2026,EVENING,H3,67.08,379,760,1516,18,12,7,30.2
10/3/2026,EVENING,H4,68.08,379,760,1516,18,12,7,30.2
10/3/2026,EVENING,I1,68.08,379,760,1516,18,12,7,30.2
10/3/2026,EVENING,I2,67.08,379,760,1516,18,12,7,30.2
10/3/2026,EVENING,I3,69.08,379,760,1516,18,12,7,30.2
10/3/2026,EVENING,I4,68.08,379,760,1516,18,12,7,30.2
10/3/2026,EVENING,J1,66.08,379,760,1516,18,12,7,30.2
10/3/2026,EVENING,J2,66.08,379,760,1516,18,12,7,30.2
10/3/2026,EVENING,J3,65.08,379,760,1516,18,12,7,30.2
10/3/2026,EVENING,J4,67.08,379,760,1516,18,12,7,30.2
10/3/2026,EVENING,K1,65.08,379,760,1516,18,12,7,30.2
10/3/2026,EVENING,K2,67.08,379,760,1516,18,12,7,30.2
10/3/2026,EVENING,K3,68.08,379,760,1516,18,12,7,30.2
10/3/2026,EVENING,K4,67.08,379,760,1516,18,12,7,30.2
10/3/2026,EVENING,L1,67.08,379,760,1516,18,12,7,30.2
10/3/2026,EVENING,L2,68.08,379,760,1516,18,12,7,30.2
10/3/2026,EVENING,L3,67.08,379,760,1516,18,12,7,30.2
10/3/2026,EVENING,L4,67.08,379,760,1516,18,12,7,30.2
11/3/2026,MORNING,A1,72.08,379,760,1516,15,17,7,29
11/3/2026,MORNING,A2,73.08,379,760,1516,15,17,7,29
11/3/2026,MORNING,A3,73.08,379,760,1516,15,17,7,29.2
11/3/2026,MORNING,A4,73.08,379,760,1516,15,17,7,29.2
11/3/2026,MORNING,B1,73.08,379,760,1516,15,17,7,29
11/3/2026,MORNING,B2,73.08,379,760,1516,15,17,7,29.2
11/3/2026,MORNING,B3,73.08,379,760,1516,15,17,7,28.6
11/3/2026,MORNING,B4,74.08,379,760,1516,15,17,7,28.6
11/3/2026,MORNING,C1,74.08,379,760,1516,15,17,7,28.6
11/3/2026,MORNING,C2,73.08,379,760,1516,15,17,7,28.6
11/3/2026,MORNING,C3,73.08,379,760,1516,15,17,7,28.6
11/3/2026,MORNING,C4,73.08,379,760,1516,15,17,7,28.6
11/3/2026,MORNING,D1,74.08,379,760,1516,15,17,7,28.6
11/3/2026,MORNING,D2,73.08,379,760,1516,15,17,7,28.6
11/3/2026,MORNING,D3,72.08,379,760,1516,15,17,7,29
11/3/2026,MORNING,D4,73.08,379,760,1516,15,17,7,29.2
11/3/2026,MORNING,E1,73.08,379,760,1516,15,17,7,28.6
11/3/2026,MORNING,E2,72.08,379,760,1516,15,17,7,29
11/3/2026,MORNING,E3,73.08,379,760,1516,15,17,7,29.2
11/3/2026,MORNING,E4,72.08,379,760,1516,15,17,7,29
11/3/2026,MORNING,F1,72.08,379,760,1516,15,17,7,29
11/3/2026,MORNING,F2,73.08,379,760,1516,15,17,7,29.2
11/3/2026,MORNING,F3,72.08,379,760,1516,15,17,7,29.2
11/3/2026,MORNING,F4,71.08,379,760,1516,15,17,7,28.6
11/3/2026,MORNING,G1,71.08,379,760,1516,15,17,7,28.8
11/3/2026,MORNING,G2,71.08,379,760,1516,15,17,7,28.8
11/3/2026,MORNING,G3,71.08,379,760,1516,15,17,7,28.8
11/3/2026,MORNING,G4,71.08,379,760,1516,15,17,7,28.8
11/3/2026,MORNING,H1,71.08,379,760,1516,15,17,7,28.8
11/3/2026,MORNING,H2,71.08,379,760,1516,15,17,7,28.8
11/3/2026,MORNING,H3,71.08,379,760,1516,15,17,7,29.2
11/3/2026,MORNING,H4,72.08,379,760,1516,15,17,7,29.2
11/3/2026,MORNING,I1,72.08,379,760,1516,15,17,7,29.2
11/3/2026,MORNING,I2,71.08,379,760,1516,15,17,7,29.2
11/3/2026,MORNING,I3,73.08,379,760,1516,15,17,7,29.2
11/3/2026,MORNING,I4,72.08,379,760,1516,15,17,7,29.2
11/3/2026,MORNING,J1,70.08,379,760,1516,15,17,7,29.2
11/3/2026,MORNING,J2,70.08,379,760,1516,15,17,7,29.2
11/3/2026,MORNING,J3,69.08,379,760,1516,15,17,7,29.2
11/3/2026,MORNING,J4,71.08,379,760,1516,15,17,7,29.2
11/3/2026,MORNING,K1,69.08,379,760,1516,15,17,7,29.2
11/3/2026,MORNING,K2,71.08,379,760,1516,15,17,7,29.2
11/3/2026,MORNING,K3,72.08,379,760,1516,15,17,7,29.2
11/3/2026,MORNING,K4,71.08,379,760,1516,15,17,7,29.2
11/3/2026,MORNING,L1,71.08,379,760,1516,15,17,7,29.2
11/3/2026,MORNING,L2,72.08,379,760,1516,15,17,7,29.2
11/3/2026,MORNING,L3,71.08,379,760,1516,15,17,7,29.2
11/3/2026,MORNING,L4,71.08,379,760,1516,15,17,7,29.2
11/3/2026,AFTERNOON,A1,55.08,379,760,1516,18,35,7,40
11/3/2026,AFTERNOON,A2,56.08,379,760,1516,18,35,7,40
11/3/2026,AFTERNOON,A3,56.08,379,760,1516,18,35,7,40.2
11/3/2026,AFTERNOON,A4,56.08,379,760,1516,18,35,7,40.2
11/3/2026,AFTERNOON,B1,56.08,379,760,1516,18,35,7,40
11/3/2026,AFTERNOON,B2,56.08,379,760,1516,18,35,7,40.2
11/3/2026,AFTERNOON,B3,56.08,379,760,1516,18,35,7,39.6
11/3/2026,AFTERNOON,B4,57.08,379,760,1516,18,35,7,39.6
11/3/2026,AFTERNOON,C1,57.08,379,760,1516,18,35,7,39.6
11/3/2026,AFTERNOON,C2,56.08,379,760,1516,18,35,7,39.6
11/3/2026,AFTERNOON,C3,56.08,379,760,1516,18,35,7,39.6
11/3/2026,AFTERNOON,C4,56.08,379,760,1516,18,35,7,39.6
11/3/2026,AFTERNOON,D1,57.08,379,760,1516,18,35,7,39.6
